City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Simao,CN,22.7886,100.9748,57.33,94,99,3.29,overcast clouds
218,Kavieng,PG,-2.5744,150.7967,83.91,69,86,15.19,overcast clouds
219,Bethel,US,41.3712,-73.414,75.02,75,1,12.66,clear sky
220,Kaitangata,NZ,-46.2817,169.8464,49.19,89,100,9.66,overcast clouds
221,Cuenca,EC,-2.8833,-78.9833,65.59,63,99,6.53,light rain
222,Kerman,IR,30.2832,57.0788,64.26,22,0,11.5,clear sky
223,Saint-Francois,FR,46.4154,3.9054,60.24,70,0,2.3,clear sky
224,Mattru,SL,7.6244,-11.8332,84.9,68,65,5.37,light rain
225,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,75,4.61,broken clouds
226,Snasa,NO,64.2457,12.3778,38.39,82,85,6.73,overcast clouds
227,Kahului,US,20.8947,-156.47,75.85,83,20,11.5,few clouds
228,Dodge City,US,37.7528,-100.0171,66.25,34,1,5.99,clear sky
229,Greytown,ZA,-29.0642,30.5928,52.9,95,100,5.95,moderate rain
230,Soe,ID,-9.8607,124.284,67.71,87,36,3.18,scattered clouds
231,Tautira,PF,-17.7333,-149.15,78.82,71,54,21.45,broken clouds
232,Kindu,CD,-2.95,25.95,71.62,90,60,0.45,broken clouds
233,Iquitos,PE,-3.7481,-73.2472,82.44,74,75,8.05,heavy intensity rain
234,Linjiang,CN,41.8069,126.9078,26.82,43,40,4.52,scattered clouds
235,Ostrovnoy,RU,68.0531,39.5131,40.32,96,100,14.72,overcast clouds
236,Tiksi,RU,71.6872,128.8694,5.58,95,90,5.82,overcast clouds
237,Garmisch-Partenkirchen,DE,47.4921,11.0958,50.34,86,44,0.65,scattered clouds
238,Pingzhuang,CN,42.0372,119.2889,30.07,27,0,4.88,clear sky
239,Ulladulla,AU,-35.35,150.4667,53.87,81,2,4.12,clear sky
240,Hervey Bay,AU,-25.2986,152.8535,64.02,81,0,8.41,clear sky
241,Lima,PE,-12.0432,-77.0282,67.14,72,40,14.97,scattered clouds
242,Fort Nelson,CA,58.8053,-122.7002,36.23,64,27,1.74,scattered clouds
243,Daudnagar,IN,25.0333,84.4,82.08,75,93,4.76,overcast clouds
244,Itarema,BR,-2.9248,-39.9167,88.3,55,100,20.58,overcast clouds
245,Chokurdakh,RU,70.6333,147.9167,-5.01,100,90,4.94,overcast clouds
246,San Lazaro,BZ,18.0387,-88.6622,87.58,57,18,1.21,few clouds
247,Bealanana,MG,-14.55,48.7333,58.77,85,2,3.74,clear sky
248,Limbe,CM,4.0242,9.2149,78.98,83,79,8.75,light rain
249,Geraldton,AU,-28.7667,114.6,54.01,87,41,8.05,scattered clouds
250,Hamilton,US,39.1834,-84.5333,61.59,61,40,1.01,scattered clouds
251,Synya,RU,65.3718,58.0387,37.76,97,100,9.82,overcast clouds
252,Sandi,IN,27.3,79.95,82.47,60,90,5.91,overcast clouds
253,Broken Hill,AU,-31.95,141.4333,53.38,54,37,3.04,scattered clouds
254,Mabaruma,GY,8.2,-59.7833,88.02,68,65,6.98,broken clouds
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,85,100,13.67,overcast clouds
256,Mwense,ZM,-10.3845,28.698,76.53,58,99,7.96,overcast clouds
257,Winona,US,43.9666,-91.7668,57.61,53,1,9.22,clear sky
258,Yulara,AU,-25.2406,130.9889,75.04,16,90,6.91,overcast clouds
259,Dunedin,NZ,-45.8742,170.5036,52.81,83,100,11.01,overcast clouds
260,Aguie,NE,13.506,7.7786,84.54,49,94,16.08,overcast clouds
261,Nekhayevskiy,RU,50.4106,41.7561,52.2,54,93,4.16,overcast clouds
262,Sosua,DO,19.7667,-70.5167,91.38,79,40,11.5,scattered clouds
263,Cidreira,BR,-30.1811,-50.2056,63.18,83,100,14.7,overcast clouds
264,Longyearbyen,SJ,78.2186,15.6401,24.64,58,75,13.8,light snow
265,Okhotsk,RU,59.3833,143.3,16.66,72,10,8.19,clear sky
266,Sorland,NO,67.667,12.6934,41.56,60,87,14.83,overcast clouds
267,Dogondoutchi,NE,13.6393,4.0287,98.71,11,13,6.73,few clouds
268,Rudbar,AF,30.15,62.6,67.08,12,0,8.81,clear sky
269,Kedrovyy,RU,56.1667,91.8167,23.41,71,10,1.97,clear sky
270,Victor Harbor,AU,-35.5667,138.6167,53.01,73,80,3.13,broken clouds
271,Saint-Joseph,RE,-21.3667,55.6167,71.98,75,37,15.01,scattered clouds
272,Shawinigan,CA,46.5668,-72.7491,66.58,97,100,8.95,light rain
273,Zhezkazgan,KZ,47.8043,67.7144,46.17,41,12,7.81,few clouds
274,Hofn,IS,64.2539,-15.2082,36.99,72,100,10.67,overcast clouds
275,Broome,US,42.2506,-75.833,67.17,81,90,5.01,heavy intensity rain
276,Lavrentiya,RU,65.5833,-171.0,25.05,83,78,13.62,broken clouds
277,Birin,NP,26.8865,88.0718,63.73,74,100,5.59,overcast clouds
278,Mount Isa,AU,-20.7333,139.5,65.97,27,0,8.05,clear sky
279,Kaarina,FI,60.4072,22.369,47.77,74,0,11.5,clear sky
280,Popondetta,PG,-8.7537,148.2534,74.05,95,98,2.37,overcast clouds
281,Sovetskiy,RU,61.3614,63.5842,42.96,78,87,9.82,overcast clouds
282,Sozopol,BG,42.4167,27.7,55.74,82,100,9.06,light rain
283,Santa Cruz,BO,-17.8,-63.1667,75.25,46,75,13.8,broken clouds
284,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,40,0.0,scattered clouds
285,Tianpeng,CN,30.9866,103.9393,59.63,84,100,2.19,overcast clouds
286,Kysyl-Syr,RU,63.8986,122.7617,11.53,94,67,3.27,broken clouds
287,Morondava,MG,-20.2833,44.2833,77.81,82,6,9.75,clear sky
288,Gijon,ES,43.5357,-5.6615,66.45,80,100,0.34,overcast clouds
289,Rediu,RO,47.2167,27.5,50.38,88,90,4.0,light rain
290,Puerto Leguizamo,CO,-0.1934,-74.7819,76.12,94,98,4.34,overcast clouds
291,Esil,KZ,51.9556,66.4042,48.56,52,100,5.93,overcast clouds
292,Peterborough,GB,52.5736,-0.2478,58.32,79,97,6.69,overcast clouds
293,Clyde River,CA,70.4692,-68.5914,28.29,74,96,10.67,overcast clouds
294,Tucupita,VE,9.0622,-62.051,94.57,43,31,5.57,scattered clouds
295,Akhalgori,GE,42.126,44.4833,56.71,84,6,5.03,clear sky
296,Nome,US,64.5011,-165.4064,27.16,74,75,11.5,broken clouds
297,Arshan,RU,46.2732,44.22,61.18,38,95,11.18,overcast clouds
298,Quatre Bornes,MU,-20.2644,57.4719,71.74,75,7,13.85,clear sky
299,Ouesso,CG,1.6136,16.0517,74.57,89,98,1.57,light rain
300,Quartz Hill,US,34.6453,-118.2181,77.16,16,1,1.01,clear sky
301,Manicore,BR,-5.8092,-61.3003,100.47,31,84,3.94,broken clouds
302,San Andres,CO,12.5847,-81.7006,86.02,79,75,5.75,broken clouds
303,Natal,BR,-5.795,-35.2094,85.93,54,97,15.39,overcast clouds
304,Huarmey,PE,-10.0681,-78.1522,69.53,74,65,11.65,broken clouds
