City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Cody,US,56.59,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
607,Qabaqcol,AZ,64.44,clear sky,41.72,46.2647,
613,Misilmeri,IT,65.41,overcast clouds,38.0339,13.4518,Oasi Club
634,Moose Factory,CA,54.63,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
649,Chatellerault,FR,65.12,clear sky,46.8,0.5333,La Gourmandine
654,Lewiston,US,68.76,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
655,Mehriz,IR,66.7,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
657,Grants Pass,US,66.88,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
658,Mackay,AU,62.04,clear sky,-21.15,149.2,International Lodge Motel
660,Coos Bay,US,57.15,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
661,Emirdag,TR,61.68,broken clouds,39.0197,31.15,Emirdağ Öğretmenevi
664,Juegang,CN,58.91,light rain,32.3174,121.1855,Rudong Y Hotel
667,Baker City,US,60.82,clear sky,44.7749,-117.8344,Bridge Street Inn
672,Aconibe,GQ,68.41,moderate rain,1.2968,10.9369,
